GeneID	P2_LV_HFPEF	P9_LV_HFPEF	P11_LV_HFPEF	P15_LV_HFPEF	P1_LV_HFPEF	P3_LV_Normal	P4_LV_Normal	P5_LV_Normal	P6_LV_Normal	P7_LV_Normal	P8_LV_Normal	P10_LV_Normal	P12_LV_Normal	P13_LV_Normal	P14_LV_Normal	P16_LV_Normal
ENSG00000000003	262.984745130309	248.038726402448	284.891022778173	285.825369947515	368.244532550799	184.970502163563	275.447009192869	282.380443868334	232.188504030315	256.543915115857	327.699510530026	212.152823675445	334.59120100824	247.821760294591	204.383791345696	304.562345421103
ENSG00000000419	1261.8277030803	1242.35914128691	1160.69274375268	1392.44519988584	1466.6480294904	936.76039225799	1165.68101719666	701.162309801085	841.259386533874	1082.33002026946	877.61061608675	1123.21461600421	1325.81809043741	920.923632866205	1188.23958978838	1060.45153093092
ENSG00000000457	179.643809563208	213.438202914154	157.980801009744	224.535444847582	204.274288625467	240.428359939381	149.072498948729	197.610070373035	191.136883185278	172.179823443569	205.130472739103	175.452297410782	168.237452128083	205.877081702376	204.160847459985	207.696271571772
ENSG00000000938	27.2295383691722	45.7292713612404	63.9304540934316	59.217491922837	53.4752918442565	90.0389488653619	41.9572069378862	36.0751114655131	41.7320845423004	52.6449840994017	51.692667101211	29.901132230088	52.3374150895302	51.9780522980722	33.228966966073	36.126766546068
ENSG00000000971	1402.70911007249	674.350562906015	2646.5023457228	871.299235511412	1931.72082682474	887.408391665254	660.676984642439	616.106624877982	637.098092654098	885.196114474553	912.47871769691	1235.28962044661	1065.44124949349	694.581076559424	1254.05530741835	736.760310470219
ENSG00000001036	618.886895563219	603.852656407578	588.220235677841	551.600836690147	582.280786835084	550.58552997395	543.685454743074	473.851288020277	407.544740818993	445.52587014562	524.825500529923	572.586906745178	737.335478253121	457.060459440402	560.275463254049	506.601358517299
ENSG00000001084	655.450923278721	838.335874872406	514.499794890371	720.485224689423	640.889410274166	575.77105125118	609.980997701471	485.962514702826	540.285563082519	616.287289229762	487.249931418543	717.131539335262	461.386539463246	598.477935230993	713.084513188231	517.169781707275
ENSG00000001167	261.847147711301	316.065679892203	223.376146049582	181.527537558407	231.226173707407	232.520025902139	236.533764327299	240.573326293155	213.04598081789	298.053972077101	224.41769138267	246.86446871623	195.140370279667	233.432100231776	244.220539188422	247.803794480519
ENSG00000001460	85.6938210628804	82.8379351804374	96.3908675101057	93.4019726317916	124.120860556395	75.7851639238056	114.292598642294	105.548136401143	79.5458350979013	85.225519652673	115.6889300345	85.9978698577077	91.1471207785068	103.788345422967	89.9534458458986	135.943039673505
ENSG00000001461	950.244372133473	1134.43944539633	861.337289108528	1247.03224761695	964.299822622234	1133.7872368669	1230.13855946463	862.991883463399	1092.81481360669	895.870519648496	1115.78204743934	965.399806203789	929.732555881059	1208.73085955074	1054.6165562726	1248.23237616653
ENSG00000001497	323.585976513654	311.58655072104	385.252822604596	275.793789197517	274.50303917499	328.47977270309	328.473070667991	285.87561911989	362.803556417074	285.628514725704	322.469012068408	296.498183391173	421.390229941566	278.844076481143	267.611706081334	324.703567627726
ENSG00000001561	1044.90249210412	1188.48752371873	854.719035686813	1449.80300693973	1304.28942796139	757.291983552625	776.790772919134	869.134143125147	1174.78021795184	874.49570862381	907.072772080335	714.617724297304	832.028903010659	1090.22846196399	1022.24598628363	947.333848581953
ENSG00000001617	123.035848889506	128.248419925144	170.174477733738	132.324714709699	180.558829840877	431.304426747862	195.035702065573	276.505353810586	199.963279200486	221.529641081918	306.14948427707	256.911255638431	278.090049777049	246.098101716782	207.797385395528	169.648527742776
ENSG00000001629	665.57128838756	1009.34085193843	560.589054980858	897.093268762307	954.171882533976	713.633045664514	576.148610429189	503.688076540084	741.737932027127	661.129985346106	623.179843543894	762.837254265573	576.063469898477	697.027583987725	755.059467111157	605.996281040465
ENSG00000001631	795.878462143848	836.119115037777	667.090744625213	782.390001696915	864.583704610034	687.763828033476	698.493705570754	515.954471229953	544.395409306704	738.428634782315	603.202732118469	697.330091663783	558.958625093582	897.097160896682	761.411103770665	711.257422670228
ENSG00000002016	92.9604378288681	81.6255799058128	105.108703213671	52.7343094155512	61.2066712072365	108.030330623623	60.6869335599447	95.033158955644	159.668946159526	99.5186959053315	64.7319137622596	87.5405223787487	74.5638046840446	98.6526050348249	103.563306484232	95.0411056248993
ENSG00000002330	30.423454294098	13.8931761448997	20.1074145660749	22.0170439419926	22.6085694130433	101.132544990219	67.4064053555839	70.2642694186046	62.4825707088138	106.607950907893	128.185851513994	53.2872572436207	42.1999746239903	60.1113490120596	61.2551482077159	66.6943967192439
ENSG00000002549	1700.4524974409	1713.53570247798	1408.57324185444	1741.87526421325	1708.31257315671	1993.17230824625	1501.65470413042	1028.98740986076	1778.80325653892	1583.17445060304	1603.1013508008	1855.5786332263	1774.85752437099	1364.56438072045	1942.44648269188	1494.17710294373
ENSG00000002586	1826.11505328654	1918.04676777879	3359.11214845674	2208.4279770052	2416.07128630001	2866.51526103172	3151.35667450824	3359.42109934825	2538.87805790269	2002.95729958613	2604.27532065149	2983.01432484059	3258.66866821339	2608.08918898645	2390.77518229861	2621.18408391304
